fmId,name,date,promotion,event,opponentFmId,opponentName,opponentRankAtTime,result,method
227103,Joshua Van,2026-05-09,UFC 328 Chimaev vs. Strickland,UFC 328 Chimaev vs. Strickland,193867,Tatsuro Taira,#3 Flyweight,W,TKO (Front Kick to the Body and Punches) Round 5
227103,Joshua Van,2025-12-06,UFC,UFC 323 - Dvalishvili vs. Yan 2,5215,Alexandre Pantoja,#1 Flyweight,W,TKO (Arm Injury) Round 1
227103,Joshua Van,2025-06-28,UFC,UFC 317 - Topuria vs. Oliveira,86030,Brandon Royval,#2 Flyweight,W,Decision (Unanimous) Round 3
227103,Joshua Van,2025-06-07,UFC,UFC 316 - Dvalishvili vs. OMalley 2,104938,Bruno Silva,#31 Flyweight,W,TKO (Punches) Round 3
227103,Joshua Van,2025-03-08,UFC,UFC 313 - Pereira vs. Ankalaev,235763,Rei Tsuruya,#27 Flyweight,W,Decision (Unanimous) Round 3
227103,Joshua Van,2024-12-07,UFC,UFC 310: Pantoja vs. Asakura,158918,Cody Durden,#93 Bantamweight,W,Decision (Unanimous) Round 3
227103,Joshua Van,2024-09-14,UFC,UFC 306 - Noche UFC: OMalley vs. Dvalishvili,169660,Edgar Chairez,#135 Flyweight,W,Decision (Unanimous) Round 3
227103,Joshua Van,2024-07-13,UFC on ESPN,UFC on ESPN 59 - Namajunas vs. Cortez,176321,Charles Johnson,#26 Flyweight,L,KO (Punches) Round 3
227103,Joshua Van,2024-01-13,UFC Fight Night,UFC Fight Night 234 - Ankalaev vs. Walker 2,116423,Felipe Bunes,#36 Flyweight,W,TKO (Punches) Round 2
227103,Joshua Van,2023-11-11,UFC,UFC 295: Procházka vs. Pereira,179772,Kevin Borjas,#75 Flyweight,W,Decision (Unanimous) Round 3
227103,Joshua Van,2023-06-24,UFC on ABC,UFC on ABC 5 - Emmett vs. Topuria,137080,Zhalgas Zhumagulov,#51 Flyweight,W,Decision (Split) Round 3
227103,Joshua Van,2022-12-18,Fury FC,Fury FC 72: Van vs. McLean,127809,Cleveland Mclean,#86 Flyweight,W,Submission (Rear-Naked Choke) Round 2
227103,Joshua Van,2022-08-14,Fury FC,Fury FC 67 - Fury Fighting Championship 67,199774,Paris Moran,#74 Flyweight,W,TKO (Punches) Round 2
227103,Joshua Van,2022-05-15,Fury FC,Fury FC 62 - Fury Fighting Championship 62,80916,Mario Suazo,,W,Submission (Calf Slicer) Round 2
227103,Joshua Van,2022-04-24,Fury FC,Fury FC 60 - Fury Fighting Championship 60,164598,Angelo Trujillo,,W,KO Round 1
227103,Joshua Van,2022-02-11,Fury FC,Fury FC 57,155270,Francisco Obando,#558 Flyweight,W,TKO (Punches) Round 1
227103,Joshua Van,2021-12-19,Fury FC,Fury FC 55,209999,Devon Jackson,,L,Submission (Rear-Naked Choke) Round 2
227103,Joshua Van,2021-11-21,Fury FC,Fury FC 54 - Fury Fighting Championship 54,99790,Chase Eastham,,W,TKO (Punches) Round 2
227103,Joshua Van,2021-10-17,Fury FC,Fury FC 52 - Fury Fighting Championship 52,224318,Tony Esquivel,,W,TKO (Knees to the Body) Round 2
5215,Alexandre Pantoja,2025-12-06,UFC,UFC 323 - Dvalishvili vs. Yan 2,227103,Joshua Van,#3 Flyweight,L,TKO (Arm Injury) Round 1
5215,Alexandre Pantoja,2025-06-28,UFC,UFC 317 - Topuria vs. Oliveira,75447,Kai Kara-France,#5 Flyweight,W,Submission (Rear-Naked Choke) Round 3
5215,Alexandre Pantoja,2024-12-07,UFC,UFC 310: Pantoja vs. Asakura,160822,Kai Asakura,#24 Bantamweight,W,Technical Submission (Rear-Naked Choke) Round 2
5215,Alexandre Pantoja,2024-05-04,UFC,UFC 301 - Pantoja vs. Erceg,162133,Steve Erceg,#15 Flyweight,W,Decision (Unanimous) Round 5
5215,Alexandre Pantoja,2023-12-16,UFC,UFC 296 - Edwards vs. Covington,86030,Brandon Royval,#6 Flyweight,W,Decision (Unanimous) Round 5
5215,Alexandre Pantoja,2023-07-08,UFC,UFC 290 - Volkanovski vs. Rodriguez,82307,Brandon Moreno,#1 Flyweight,W,Decision (Split) Round 5
5215,Alexandre Pantoja,2022-07-30,UFC,UFC 277 - Pena vs. Nunes 2,24370,Alex Perez,,W,Submission (Neck Crank) Round 1
